athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Sharon Van Rouwendaal,NED,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7349.2,1.0
Leonie Beck,GER,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7349.7,2.0
Ana Marcela Cunha,BRA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7350.7,3.0
Aurelie Muller,FRA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7356.1,4.0
Katie Grimes,USA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7357.2,5.0
Anna Olasz,HUN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7359.1,6.0
Angelica Andre,POR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7359.3,7.0
Lea Boy,GER,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7360.5,8.0
Moesha Johnson,AUS,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7362.0,9.0
Maria De Valdes,ESP,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7362.8,10.0
Spela Perse,SLO,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7363.4,11.0
Mafalda Rosa,POR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7368.3,12.0
Chelsea Gubecka,AUS,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7371.7,13.0
Giulia Gabbrielleschi,ITA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7372.2,14.0
Mariah Denigan,USA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7374.1,15.0
Viviane Jungblut,BRA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7384.9,16.0
Vivien Balogh,HUN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7387.8,17.0
Rachele Bruni,ITA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7397.3,18.0
Eva Fabian,ISR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7400.2,19.0
Jiake Sun,CHN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7523.6,20.0
Airi Ebina,JPN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7551.7,21.0
Amica De Jager,RSA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7560.2,22.0
Candela Giordanino,ARG,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7562.6,23.0
Xin Xin,CHN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7608.0,24.0
Angela Martinez Guillen,ESP,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7610.9,25.0
Krystyna Panchishko,UKR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7612.8,26.0
Lenka Sterbova,CZE,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7614.0,27.0
Catherine Francis Van Rensburg,RSA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7614.2,28.0
Martha Sandoval,MEX,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7614.4,29.0
Tsz Yin Nip,HKG,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7618.2,30.0
Caroline Laure Jouisse,FRA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7627.0,31.0
Pac Tung Nikita Lam,HKG,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7680.1,32.0
Narin Burcunaz,TUR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7751.2,33.0
Katrina Bellio,CAN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7753.2,34.0
Romina Soledad Imwinkelried,ARG,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7754.5,35.0
Diana Taszhanova,KAZ,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7780.7,36.0
Maria Bramont-Arias,PER,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7807.6,37.0
Abby Dunford,CAN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7821.2,38.0
Yu-Wen Teng,TPE,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7824.9,39.0
Yumi Tou,JPN,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7832.2,40.0
Paulina Alanis Hernandez,MEX,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7843.0,41.0
Arianna Valloni,SMR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7843.3,42.0
Hae Rim Lee,KOR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,7988.6,43.0
Ruby Heath,NZL,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8024.6,44.0
Li-Shan Chantal Liew,SGP,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8049.0,45.0
Fatima Portillo,ESA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8124.2,46.0
Pimpun Choopong,THA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8132.4,47.0
Jungju Park,KOR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8291.9,48.0
Sofia Guevara,ECU,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8298.7,49.0
Jocelyn Bermeo,ECU,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8301.6,50.0
Mariia Bondarenko,UKR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8321.7,51.0
Yi-Chen Wang,TPE,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8386.3,52.0
Samantha Yeo,SGP,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8402.4,53.0
Maria Porres,GUA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8648.3,54.0
Leandra Torres,PUR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8648.4,55.0
Alondra Itzel Quiles,PUR,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8771.8,56.0
Natwara Bavornsukseri,THA,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,8879.5,57.0
Maiza Cardozo,URU,06/29/2022,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,61.0,9074.5,58.0
